Keyword,Question,Answer,sourcelink,linktext
can orcas live in freshwater,Why can't orcas live in freshwater?,"They metabolize the proteins and fat reserves of their prey into water, their kidneys have the ability to extract salt, and their urine is more concentrated than sea water, allowing them to meet their water needs.",https://baleinesendirect.org/en/can-whales-survive-in-fresh-water/,Can whales survive in fresh water? - Baleines en direct
can orcas live in freshwater,Are orcas saltwater or freshwater?,"Most, 22 of the 39 species, are non-parasitic and spend their entire lives in freshwater. The remainder are either parasitic spending their whole life in freshwater or, parasitic and anadromous.",https://www.hww.ca/en/wildlife/mammals/killer-whale.html,Killer Whale - Hinterland Who's Who
can orcas live in freshwater,Do orcas live in cold waters?,"Though they often frequent cold, coastal waters, orcas can be found from the polar regions to the Equator.",https://www.nationalgeographic.com/animals/mammals/facts/orca,Orcas (Killer Whales): Facts and Information - National ...
can orcas live in freshwater,Can whales live in the Great Lakes?,"Whales don't live in the Great Lakes. Or do they? No, not at all.",https://www.lansingstatejournal.com/story/travel/2016/03/31/heres-whopper-whale-watching-lake-michigan/82473438/,Here's a whopper: Whale-watching in Lake Michigan - ...
can orcas live in freshwater,Can orcas get in lakes?,"As marine mammals, whales breathe air, produce milk, give birth, and are warm-blooded animals. Even though these marine mammals thrive in the ocean, whales cannot live in freshwater environments, at least not for long periods of time.",https://www.whalefacts.org/can-whales-live-in-fresh-water/,Can Whales Live In Fresh Water?
can orcas live in freshwater,Are orcas in Lake Michigan?,"No, there are no orca whales living in Lake Michigan currently, or ever in the lake's current geography.",https://1440wrok.com/why-does-some-of-the-internet-believe-there-are-orcas-in-lake-michigan/,Why Does Some Of The Internet Believe Orcas Are In Lake ...
can orcas live in freshwater,Can dolphin survive in freshwater?,"Can dolphins live in fresh water? River dolphins such as the Amazon River dolphin (boto) and the South Asian river dolphins only live in fresh water rivers and lakes. Some dolphin species have populations that live in fresh water, these include the tucuxi (or sotalia), Irrawaddy dolphin and finless porpoise.",https://uk.whales.org/whales-dolphins/where-do-dolphins-live/,Where do dolphins live? - Whale and Dolphin Conservation
can orcas live in freshwater,Can narwhals live in freshwater?,"It appears narwhals prefer the freshwater coming off still, serene glaciers over the silt-filled runoff discharged from very active glaciers.",https://www.washington.edu/news/2018/02/09/research-uncovers-the-mysterious-lives-of-narwhals/,Research uncovers the mysterious lives of narwhals | UW ...
can orcas live in freshwater,How long can a beached orca survive?,"Overall, I believe the range is about 5 minutes to 1.5 hours, depending on which species of whale it is.",http://scienceline.ucsb.edu/getkey.php?key=4088,UCSB Science Line
can orcas live in freshwater,Are orcas friendly to humans?,"To answer the first question, are killer whales dangerous, they actually aren't! Or at least to humans, usually. Although you should still be cautious, there has only been one instance of a killer whale attacking a person in the wild –with no instances of a wild orca killing a human.",https://2seewhales.com/blog/are-killer-whales-friendly/,Are Killer Whales Friendly? - Harbor Breeze Cruises
can orcas live in freshwater,Can orcas breathe out of water?,"Whales have lungs they use to get the oxygen they need by breathing air (like humans). But instead of breathing through their mouth, they breathe through their nostrils, called blowholes, located on top of their heads. They can easily breathe through the blowhole without lifting their entire head out of the water.",http://naturemappingfoundation.org/natmap/facts/orca_712.html,Orca (Killer Whale) Facts - NatureMapping Foundation
